Sezioni 2001;000-004;005-009;010-014;015-019;020-024;025-029;030-034;035-039;040-044;045-049;050-054;055-059;060-064;065-069;070-074;075-079;080-084;085-089;090-094;095-099;100-104;105-109;110 e oltre;Totale
0001;16;14;14;12;9;15;24;20;18;9;5;6;6;2;7;3;1;;;1;;;;182
0002;1;2;;;;;;;3;2;;;;1;1;;;;;;;;;10
0003;;;;;;;;;;;;;;;;;;;;;;;;
0004;4;5;6;3;2;2;8;11;9;8;11;4;7;5;1;;1;2;;;;;;89
0005;;;2;1;;;1;;1;1;2;;;;2;2;;;;1;;;;13
0006;1;1;;;1;1;5;3;3;2;;1;5;3;4;5;3;2;;;;;;40
0007;2;;1;;;2;;2;2;;2;2;2;2;;1;;1;;;;;;19
0008;1;1;1;1;;;;2;3;3;;;1;3;2;1;1;1;;1;;;;22
0009;;;;1;1;;;;;1;1;;;1;;;;;;;;;;5
0010;2;2;;2;2;7;7;7;3;3;7;2;4;3;3;1;6;5;;;;;;66
0011;2;;1;;1;1;;1;2;1;1;2;;1;;;1;;;;;;;14
0012;15;9;9;13;8;23;30;29;29;20;26;23;12;11;13;6;8;10;1;1;;;;296
0013;12;7;;2;8;16;18;15;5;10;9;5;6;4;7;4;3;;;;;;;131
0014;4;;1;;;1;2;4;1;1;1;;;;1;2;;;;;;;;18
0015;10;6;1;2;1;11;6;5;;1;1;3;;1;1;2;3;;;;;;;54
0016;;2;2;;2;;;;;4;3;;;;1;3;;;;;;;;17
0017;1;2;3;1;2;2;2;5;2;2;3;6;6;4;;2;4;5;1;;;;;53
0018;1;;;;;;1;1;1;;1;;4;;;;;;;;;;;9
0019;;3;1;4;;;;3;6;3;2;1;2;5;;2;1;;;;;;;33
0020;;;;;;1;;1;;;;2;3;;;;;1;1;;;;;9
0021;2;4;3;;;3;1;4;2;3;;1;;2;3;2;1;1;;;;;;32
0022;;;;;1;;;;;;2;;;;;;;;;;;;;3
0023;;;1;;;;1;;1;;;;;;;;;;;;;;;3
0024;;;;3;2;1;1;;1;3;4;2;1;;5;2;;1;;;;;;26
0025;3;;1;1;1;1;2;4;8;1;3;;1;;1;;1;;;;;;;28
0026;2;1;1;;1;;;4;2;1;1;1;;;;;;;;;;;;14
0027;6;3;4;1;1;3;4;7;16;1;1;3;;;;;;1;;;;;;51
