Sezioni 2001;000-004;005-009;010-014;015-019;020-024;025-029;030-034;035-039;040-044;045-049;050-054;055-059;060-064;065-069;070-074;075-079;080-084;085-089;090-094;095-099;100-104;105-109;110 e oltre;Totale
0001;10;10;8;3;2;8;16;10;10;5;2;2;2;;4;3;1;;;;;;;96
0002;1;1;;;;;;;1;2;;;;;1;;;;;;;;;6
0003;;;;;;;;;;;;;;;;;;;;;;;;
0004;2;2;1;1;;2;5;5;6;3;6;1;4;1;1;;;1;;;;;;41
0005;;;1;;;;1;;;1;1;;;;;2;;;;;;;;6
0006;;1;;;1;1;2;2;3;1;;;3;1;1;3;2;;;;;;;21
0007;2;;;;;2;;;2;;;2;1;1;;;;;;;;;;10
0008;;1;1;;;;;;3;1;;;1;1;1;1;;;;;;;;10
0009;;;;1;1;;;;;;1;;;1;;;;;;;;;;4
0010;2;;;1;2;3;4;2;3;1;5;;4;1;2;1;2;3;;;;;;36
0011;1;;1;;;1;;1;1;;;1;;;;;;;;;;;;6
0012;9;6;6;4;4;16;13;13;18;12;10;11;6;6;6;;6;2;;;;;;148
0013;9;3;;1;3;8;12;9;3;4;5;2;2;2;3;;1;;;;;;;67
0014;2;;1;;;;1;2;1;;1;;;;;1;;;;;;;;9
0015;6;6;;2;;3;2;2;;;1;1;;1;;;2;;;;;;;26
0016;;1;2;;1;;;;;1;3;;;;;1;;;;;;;;9
0017;1;2;2;;;1;1;3;1;2;1;2;3;2;;1;;4;1;;;;;27
0018;1;;;;;;;1;1;;;;2;;;;;;;;;;;5
0019;;1;;4;;;;2;3;1;1;;;2;;1;;;;;;;;15
0020;;;;;;1;;1;;;;1;2;;;;;;1;;;;;6
0021;;3;2;;;2;1;;1;2;;1;;1;1;2;;;;;;;;16
0022;;;;;1;;;;;;1;;;;;;;;;;;;;2
0023;;;;;;;;;1;;;;;;;;;;;;;;;1
0024;;;;2;1;1;;;1;2;2;1;;;2;2;;;;;;;;14
0025;1;;1;;1;;;1;4;;2;;1;;;;1;;;;;;;12
0026;1;1;1;;1;;;2;1;;;1;;;;;;;;;;;;8
0027;5;1;3;1;;2;2;4;11;;;1;;;;;;;;;;;;30
0028;;;;;;;;;;;;;;;;1;;;;;;;;1
0029;;;;;;;5;1;;1;2;;;;;;;;;;;;;9
0030;;;;;;2;;;;;1;;;1;;;;;;;;;;4
0031;3;;;3;;1;5;9;1;1;1;1;;;1;;;;;;;;;26
0032;;;;;;;;;;;;;;;;;;;;;;;;
0033;;;;;;;1;;3;;2;1;;1;;1;;1;;;;;;10
0034;1;;;;;;1;1;;;;;;;;;;;;;;;;3
0035;;;;;;;;;;;;;;;;;;;;;;;;
0036;;;;;;;;1;;;;;;;;;;;;;;;;1
