;;;;;;;;
Popolazione residente immigrata per sezione e luogo di immigrazione -  Maschi;;;;;;;;(a)
al 31 Dicembre 2010;;;;;;;;
Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
0001;11;26;;3;;2;8;50
0002;1;;;;;;;1
0003;;;;;;;;
0004;17;2;;2;1;;4;26
0005;4;;;;;;;4
0006;8;1;;;1;;2;12
0007;3;;;;;;;3
0008;2;;;;1;;;3
0009;1;;;;;1;;2
0010;10;4;1;;;4;2;21
0011;1;;;;;1;;2
0012;63;11;1;1;3;18;21;118
0013;14;4;4;;2;8;11;43
0014;5;1;;;;;1;7
0015;6;1;;;1;;6;14
0016;4;;;;;;;4
0017;12;2;;;;;2;16
0018;4;;;;;;;4
0019;6;;;;;;;6
0020;3;;2;;;;;5
0021;6;2;;;;2;1;11
0022;1;;;;;;;1
0023;;;;;;1;;1
0024;7;;;;;;;7
0025;;5;;1;;2;;8
0026;1;1;;;;3;;5
0027;2;1;2;;1;2;;8
0028;;1;;;;;;1
0029;2;;1;2;1;3;;9
0030;3;;;;;;;3
0031;7;1;1;;1;7;2;19
0032;;;;;;;;
0033;6;;;;;2;;8
0034;;;;;;;2;2
0035;;;;;;;;
0036;1;;;;;;;1
0037;;;;;;;;
0038;2;2;;;;;;4
0039;17;7;2;2;1;7;3;39
0040;;;;;;;;
0041;14;1;;;;1;1;17
0042;6;4;3;;1;11;10;35
0043;13;2;;;1;1;;17
0044;;;;;;;;
0045;;;;;;;1;1
0046;;1;;;;;;1
0047;3;1;1;;;1;;6
0048;;;;;;;;
0049;;2;;;;;;2
0050;3;;1;;;5;1;10
0051;;;;;;;;
0052;5;1;;;1;3;3;13
0053;13;3;2;;1;3;2;24
0054;8;;1;;;1;1;11
0055;1;;;;;;;1
0056;;;;;;;;
0057;;;;;;;;
0058;23;1;1;1;2;3;2;33
0059;11;3;2;1;1;4;2;24
0060;104;15;3;4;8;33;25;192
0061;1;1;;;1;;;3
0062;89;15;7;7;14;48;25;205
0063;19;5;;1;1;6;1;33
0064;30;9;4;2;;11;;56
0065;28;2;;;1;17;24;72
0066;1;;;;;;;1
0067;14;4;1;;;7;6;32
0068;1;;;;;;;1
0069;73;10;4;4;4;29;34;158
0070;45;13;3;1;6;20;22;110
0071;21;5;1;2;;5;4;38
0072;1;1;;;;;1;3
0073;6;1;;;;;;7
0074;9;1;;;3;;1;14
0075;;;;;;;;
0076;27;3;1;2;1;3;7;44
0077;65;8;1;3;4;12;14;107
0078;34;10;1;1;3;9;9;67
0079;89;22;4;4;7;16;16;158
0080;;;;;;;;
0081;60;8;8;1;3;16;5;101
0082;67;13;;1;;13;5;99
0083;;;;;;;;
0084;;;;;;;;
0085;;;;;;;;
0086;;;;;;;;
0087;10;;1;1;;3;;15
0088;22;5;2;;1;6;10;46
0089;10;2;;;2;1;4;19
0090;36;3;4;1;2;11;19;76
0091;17;1;;;1;2;2;23
0092;6;1;;;;;5;12
0093;20;2;1;;5;6;10;44
0094;13;3;2;;1;5;9;33
0095;14;3;1;1;2;5;4;30
0096;15;3;1;1;1;6;6;33
0097;52;9;9;4;4;33;19;130
0098;58;15;3;2;3;16;18;115
0099;26;4;2;;1;5;5;43
0100;18;10;2;1;2;8;5;46
0101;64;11;1;3;6;13;23;121
0102;1;;;;1;2;3;7
0103;47;11;4;1;5;13;8;89
0104;54;8;2;1;3;11;5;84
0105;30;4;1;;5;4;6;50
0106;1;;;;1;;2;4
0107;72;10;4;4;11;15;15;131
0108;17;6;;;1;10;6;40
0109;46;8;6;1;8;14;26;109
0110;14;3;1;1;;8;6;33
0111;20;2;3;;2;5;1;33
0112;32;;1;1;2;7;5;48
0113;50;7;7;2;13;21;25;125
0114;17;2;1;1;2;4;3;30
0115;14;;1;1;1;10;5;32
0116;22;2;3;2;;17;15;61
0117;55;12;1;1;2;22;14;107
0118;25;5;2;1;;8;4;45
0119;1;1;;;;;;2
0120;44;10;1;2;2;19;15;93
0121;;1;;;;;;1
0122;4;1;;;1;4;9;19
0123;;;;;;;;
0124;43;6;3;1;5;10;11;79
0125;;;;;;;;
0126;;;;;;;;
0127;36;8;4;7;8;38;22;123
0128;;;;;;;;
0129;1;;;;;;;1
0130;30;1;3;2;1;3;3;43
0131;2;2;;;;2;5;11
0132;17;4;;;2;8;8;39
0133;;;;;;;;
0134;13;;;1;;;;14
0135;12;2;3;;1;1;;19
0136;;;;;;;;
0137;6;1;;1;2;2;;12
0138;2;1;1;1;;;;5
0139;7;;;;;1;1;9
0140;76;17;7;2;4;32;49;187
0141;1;;;;;;;1
0142;81;25;3;3;4;44;32;192
0143;21;;1;1;2;5;9;39
0144;3;;;;;1;;4
0145;85;21;1;6;5;33;23;174
0146;58;14;2;6;6;33;26;145
0147;38;8;5;4;1;18;26;100
0148;28;7;3;2;2;5;5;52
0149;47;13;6;3;6;14;9;98
0150;48;9;3;2;3;20;28;113
0151;19;6;2;;;8;1;36
0152;8;3;;;1;1;1;14
0153;82;20;4;2;4;20;47;179
0154;70;16;6;6;7;44;36;185
0155;72;16;2;4;3;15;13;125
0156;;;;;;;;
0157;;;;;;;;
0158;6;;;;;;;6
0159;2;1;;;;;3;6
0160;6;4;;;;;;10
0161;12;8;;;;1;;21
0162;2;;;;;;;2
0163;7;1;;;;;5;13
0164;9;4;;;;3;1;17
0165;2;;;;;4;3;9
0166;;;;;;;;
0167;;;;;;;;
0168;64;8;2;2;1;16;23;116
0169;94;15;8;3;6;23;3;152
0170;3;;;;;;;3
0171;108;21;8;6;14;38;7;202
0172;7;;;;;;1;8
0173;69;17;3;3;3;20;9;124
0174;86;14;6;3;15;45;25;194
0175;3;;;;;;;3
0176;95;21;3;4;4;6;6;139
0177;76;7;4;4;4;8;17;120
0178;13;3;;;1;4;6;27
0179;;;;;;;;
0180;37;9;3;1;1;7;1;59
0181;;;;;;;;
0182;102;15;3;3;6;31;16;176
0183;18;3;2;;3;10;;36
0184;2;;;;;;;2
0185;4;1;;;;;;5
0186;12;2;;;3;1;1;19
0187;1;;;;;;;1
0188;2;;;;;;;2
0189;3;;;;;;;3
0190;;;;;;;;
0191;6;;1;;;;1;8
0192;;;;;;;;
0193;4;;;;;1;4;9
0194;3;1;;1;;1;1;7
0195;2;1;;;;;;3
0196;34;10;1;1;;8;7;61
0197;9;2;;1;;3;1;16
0198;19;4;;1;;1;4;29
0199;16;8;1;;;1;;26
0200;;;;;;;;
0201;5;1;;1;;;;7
0202;3;;;;;;;3
0203;22;2;6;;;5;1;36
0204;1;;;;;;;1
0205;39;13;4;4;2;13;4;79
0206;24;3;2;3;5;7;2;46
0207;;;;;;;;
0208;;;;;;;;
0209;;;;;;;;
0210;;;;;;;;
0211;52;12;4;4;7;13;28;120
0212;36;12;;2;6;14;21;91
0213;12;4;3;;4;8;10;41
0214;14;8;1;2;2;11;13;51
0215;15;5;;;3;1;16;40
0216;24;11;1;2;7;17;22;84
0217;;;;;;;;
0218;;1;;1;;;1;3
0219;13;4;2;1;;5;1;26
0220;3;;;;;;;3
0221;3;;;3;;1;1;8
0222;1;;;;;;7;8
0223;;;;;;;;
0224;;;;;;;;
0225;2;;;;;1;;3
0226;4;1;;;1;3;1;10
0227;;;;;;;;
0228;2;15;2;2;;1;;22
0229;48;10;5;11;6;12;28;120
0230;54;22;6;4;5;26;14;131
0231;18;5;2;;2;10;3;40
0232;18;2;2;2;3;4;3;34
0233;17;8;1;3;1;7;5;42
0234;25;9;3;1;2;8;27;75
0235;10;3;2;2;1;15;7;40
0236;8;4;;;;2;2;16
0237;15;4;;1;4;7;7;38
0238;28;12;4;2;4;13;22;85
0239;32;9;2;;7;18;18;86
0240;17;5;1;;2;10;6;41
0241;33;13;2;1;10;26;40;125
0242;41;17;2;3;16;32;68;179
0243;40;14;5;5;4;36;70;174
0244;7;4;;;1;4;4;20
0245;;;;;;2;;2
0246;4;3;;1;4;4;5;21
0247;27;9;4;9;10;25;32;116
0248;19;10;2;5;5;10;15;66
0249;46;14;9;13;9;31;9;131
0250;10;2;4;2;2;5;20;45
0251;36;11;2;2;12;47;40;150
0252;17;4;1;3;3;10;4;42
0253;;;;;;;;
0254;28;15;4;2;8;20;27;104
0255;24;7;5;7;7;24;11;85
0256;32;22;3;4;11;48;37;157
0257;30;16;6;2;6;27;26;113
0258;43;12;9;1;3;30;21;119
0259;6;2;2;1;2;8;4;25
0260;21;11;1;2;3;15;7;60
0261;43;16;7;3;7;35;17;128
0262;43;16;8;5;8;33;20;133
0263;43;22;3;4;15;34;32;153
0264;18;4;2;;7;7;17;55
0265;39;10;3;3;5;25;31;116
0266;22;14;5;4;1;17;13;76
0267;10;1;2;1;;11;1;26
0268;25;5;1;6;6;17;10;70
0269;54;15;11;8;12;41;41;182
0270;31;29;3;3;8;43;41;158
0271;10;5;2;1;1;16;7;42
0272;25;13;1;1;5;8;13;66
0273;22;4;3;2;1;13;12;57
0274;16;3;2;1;1;11;12;46
0275;6;3;2;4;1;9;9;34
0276;15;10;2;4;5;9;8;53
0277;39;14;2;5;4;40;34;138
0278;6;5;;1;;4;3;19
0279;20;4;3;1;;11;7;46
0280;8;4;1;2;3;7;6;31
0281;39;12;8;2;10;27;20;118
0282;44;13;5;2;5;17;21;107
0283;41;12;4;1;5;20;32;115
0284;22;5;4;1;1;7;11;51
0285;19;7;;3;1;17;12;59
0286;5;2;;1;3;10;9;30
0287;36;15;4;1;6;27;17;106
0288;45;4;4;3;1;16;5;78
0289;23;4;1;1;5;14;9;57
0290;41;15;4;3;14;22;32;131
0291;17;5;3;1;5;13;8;52
0292;;;;;;2;;2
0293;14;4;2;3;10;6;8;47
0294;4;2;;2;1;7;2;18
0295;;;;;;;;
0296;29;9;6;8;12;42;13;119
0297;;;;;;;;
0298;7;3;1;;;5;1;17
0299;;;;;;;;
0300;25;3;2;3;1;15;18;67
0301;21;12;1;;3;16;12;65
0302;3;4;;3;2;2;4;18
0303;50;28;10;8;12;29;50;187
0304;15;10;4;1;2;22;16;70
0305;11;3;1;5;1;11;6;38
0306;51;17;5;4;10;27;32;146
0307;39;18;4;6;5;29;28;129
0308;60;16;7;2;12;41;33;171
0309;44;13;6;1;5;37;43;149
0310;1;1;1;;;;;3
0311;45;5;3;1;5;20;46;125
0312;27;5;1;6;4;11;5;59
0313;34;12;3;;6;18;15;88
0314;6;;;;;2;;8
0315;26;10;2;2;4;14;3;61
0316;35;24;3;1;5;25;28;121
0317;36;14;1;3;6;23;26;109
0318;31;13;3;5;4;25;28;109
0319;30;12;4;;3;16;37;102
0320;;;;;;;;
0321;;;;;;;;
0322;33;12;3;9;9;33;17;116
0323;84;36;13;4;23;81;51;292
0324;43;15;3;;11;35;44;151
0325;68;17;5;7;7;47;44;195
0326;47;13;5;;5;26;28;124
0327;26;12;3;1;7;12;24;85
0328;17;5;1;;1;14;14;52
0329;4;6;1;3;3;8;1;26
