Sezioni 2001;000-004;005-009;010-014;015-019;020-024;025-029;030-034;035-039;040-044;045-049;050-054;055-059;060-064;065-069;070-074;075-079;080-084;085-089;090-094;095-099;100-104;105-109;110 e oltre;Totale
0001;6;4;6;9;7;7;8;10;8;4;3;4;4;2;3;;;;;1;;;;86
0002;;1;;;;;;;2;;;;;1;;;;;;;;;;4
0003;;;;;;;;;;;;;;;;;;;;;;;;
0004;2;3;5;2;2;;3;6;3;5;5;3;3;4;;;1;1;;;;;;48
0005;;;1;1;;;;;1;;1;;;;2;;;;;1;;;;7
0006;1;;;;;;3;1;;1;;1;2;2;3;2;1;2;;;;;;19
0007;;;1;;;;;2;;;2;;1;1;;1;;1;;;;;;9
0008;1;;;1;;;;2;;2;;;;2;1;;1;1;;1;;;;12
0009;;;;;;;;;;1;;;;;;;;;;;;;;1
0010;;2;;1;;4;3;5;;2;2;2;;2;1;;4;2;;;;;;30
0011;1;;;;1;;;;1;1;1;1;;1;;;1;;;;;;;8
0012;6;3;3;9;4;7;17;16;11;8;16;12;6;5;7;6;2;8;1;1;;;;148
0013;3;4;;1;5;8;6;6;2;6;4;3;4;2;4;4;2;;;;;;;64
0014;2;;;;;1;1;2;;1;;;;;1;1;;;;;;;;9
0015;4;;1;;1;8;4;3;;1;;2;;;1;2;1;;;;;;;28
0016;;1;;;1;;;;;3;;;;;1;2;;;;;;;;8
0017;;;1;1;2;1;1;2;1;;2;4;3;2;;1;4;1;;;;;;26
0018;;;;;;;1;;;;1;;2;;;;;;;;;;;4
0019;;2;1;;;;;1;3;2;1;1;2;3;;1;1;;;;;;;18
0020;;;;;;;;;;;;1;1;;;;;1;;;;;;3
0021;2;1;1;;;1;;4;1;1;;;;1;2;;1;1;;;;;;16
0022;;;;;;;;;;;1;;;;;;;;;;;;;1
0023;;;1;;;;1;;;;;;;;;;;;;;;;;2
0024;;;;1;1;;1;;;1;2;1;1;;3;;;1;;;;;;12
0025;2;;;1;;1;2;3;4;1;1;;;;1;;;;;;;;;16
0026;1;;;;;;;2;1;1;1;;;;;;;;;;;;;6
0027;1;2;1;;1;1;2;3;5;1;1;2;;;;;;1;;;;;;21
0028;;;;;;;;1;;;;;;;1;;;;;;;;;2
