Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
0001;124;52;3;3;182
0002;5;4;;1;10
0003;;;;;
0004;41;44;2;2;89
0005;4;8;1;;13
0006;15;17;7;1;40
0007;6;10;2;1;19
0008;7;10;3;2;22
0009;2;3;;;5
0010;29;29;4;4;66
0011;6;6;2;;14
0012;126;133;22;15;296
0013;75;46;7;3;131
0014;11;5;2;;18
0015;39;13;2;;54
0016;7;8;2;;17
0017;17;29;6;1;53
0018;4;4;;1;9
0019;11;14;2;6;33
0020;2;6;;1;9
0021;17;12;3;;32
0022;1;2;;;3
0023;1;2;;;3
0024;8;16;2;;26
0025;12;14;2;;28
0026;9;5;;;14
0027;29;17;2;3;51
0028;1;1;1;;3
0029;8;3;;;11
0030;4;2;2;;8
0031;27;18;1;1;47
0032;;;;;
0033;9;8;2;;19
0034;4;1;;;5
0035;;;;;
0036;2;1;;;3
0037;3;;;;3
0038;1;5;2;;8
0039;62;55;2;7;126
0040;;;;;
0041;23;21;5;2;51
0042;37;31;;;68
0043;24;24;2;2;52
0044;;;;;
0045;2;4;1;;7
0046;;;;1;1
0047;10;7;;1;18
0048;;;;;
0049;1;2;;;3
0050;19;13;6;;38
0051;;;;;
0052;16;16;;2;34
0053;23;20;3;1;47
0054;17;20;4;1;42
0055;;2;1;;3
0056;;;;;
0057;;;;;
0058;46;54;25;1;126
0059;32;41;9;4;86
0060;223;270;56;12;561
0061;2;4;;1;7
0062;251;274;43;21;589
0063;49;35;12;7;103
0064;49;98;17;3;167
0065;80;69;14;3;166
0066;1;2;1;;4
0067;39;43;7;4;93
0068;4;2;;;6
0069;213;251;66;16;546
0070;139;143;29;13;324
0071;60;66;13;5;144
0072;3;;;;3
0073;9;19;9;1;38
0074;18;13;7;2;40
0075;;;;;
0076;51;75;24;4;154
0077;143;165;41;10;359
0078;77;128;26;6;237
0079;214;345;63;18;640
0080;;;;;
0081;84;197;72;14;367
0082;82;176;30;8;296
0083;;;;;
0084;;;;;
0085;;;;;
0086;;;;;
0087;15;26;4;2;47
0088;60;78;10;4;152
0089;20;36;5;3;64
0090;103;104;21;7;235
0091;28;41;15;2;86
0092;18;16;3;;37
0093;43;54;12;2;111
0094;33;51;7;4;95
0095;48;51;20;4;123
0096;45;47;25;5;122
0097;178;172;33;16;399
0098;100;188;29;5;322
0099;53;65;12;2;132
0100;62;77;12;3;154
0101;178;218;69;12;477
0102;14;11;1;;26
0103;91;150;25;5;271
0104;99;117;25;5;246
0105;70;88;19;3;180
0106;4;7;1;;12
0107;180;187;42;22;431
0108;65;48;11;3;127
0109;152;159;29;8;348
0110;52;65;14;3;134
0111;36;57;8;1;102
0112;48;80;15;3;146
0113;160;161;58;17;396
0114;50;54;6;1;111
0115;53;46;15;8;122
0116;77;91;12;7;187
0117;152;158;34;16;360
0118;54;59;15;2;130
0119;;3;;;3
0120;116;128;36;9;289
0121;;2;;;2
0122;21;4;1;3;29
0123;;;;;
0124;109;125;32;22;288
0125;;;1;;1
0126;;;;;
0127;183;111;19;15;328
0128;3;10;;;13
0129;;2;;;2
0130;78;57;3;1;139
0131;15;1;;;16
0132;73;52;37;4;166
0133;;;;;
0134;20;38;6;1;65
0135;22;35;8;4;69
0136;;;;;
0137;14;33;2;1;50
0138;5;8;3;;16
0139;17;12;2;4;35
0140;258;228;44;16;546
0141;;2;;;2
0142;243;287;63;15;608
0143;41;54;6;1;102
0144;4;5;1;;10
0145;250;258;47;13;568
0146;196;186;42;17;441
0147;119;149;28;8;304
0148;76;139;21;6;242
0149;119;186;41;5;351
0150;133;191;29;6;359
0151;37;56;20;3;116
0152;18;31;7;;56
0153;224;279;53;22;578
0154;238;261;39;8;546
0155;154;177;49;11;391
0156;;;;;
0157;;;;;
0158;11;12;4;1;28
0159;7;6;;;13
0160;9;10;4;1;24
0161;34;24;;1;59
0162;3;2;;;5
0163;16;14;1;2;33
0164;15;23;2;2;42
0165;13;15;3;;31
0166;;;;;
0167;;;;;
0168;123;195;45;11;374
0169;242;298;36;20;596
0170;2;11;2;;15
0171;290;380;51;20;741
0172;16;11;2;;29
0173;142;245;49;13;449
0174;314;306;62;28;710
0175;2;4;;;6
0176;118;285;52;12;467
0177;126;204;38;8;376
0178;34;45;12;4;95
0179;;;;;
0180;82;113;12;8;215
0181;;;;;
0182;248;271;53;25;597
0183;49;71;7;2;129
0184;1;4;;;5
0185;7;8;1;;16
0186;39;45;2;4;90
0187;1;2;2;1;6
0188;3;3;1;;7
0189;4;2;1;;7
0190;1;;;;1
0191;11;11;1;1;24
0192;4;8;;;12
0193;13;4;;;17
0194;13;10;;1;24
0195;5;2;1;;8
0196;66;84;12;10;172
0197;33;21;3;2;59
0198;32;31;6;2;71
0199;42;22;2;3;69
0200;;;;;
0201;14;7;32;1;54
0202;5;9;;;14
0203;44;32;1;4;81
0204;;2;;;2
0205;118;156;20;7;301
0206;67;104;15;5;191
0207;;;;;
0208;;;;;
0209;;;;;
0210;;;;;
0211;147;155;49;20;371
0212;124;131;35;9;299
0213;53;64;11;2;130
0214;76;73;19;6;174
0215;44;42;7;3;96
0216;120;97;24;11;252
0217;;;;;
0218;7;1;;;8
0219;47;24;47;4;122
0220;4;5;;;9
0221;21;11;1;1;34
0222;5;3;1;1;10
0223;;;;;
0224;;;;;
0225;7;7;1;1;16
0226;11;15;2;;28
0227;;;;;
0228;39;13;;1;53
0229;150;195;34;10;389
0230;184;252;41;12;489
0231;56;54;7;1;118
0232;35;53;14;3;105
0233;68;81;29;6;184
0234;100;100;23;5;228
0235;57;49;4;4;114
0236;24;45;9;2;80
0237;43;61;19;3;126
0238;105;89;21;12;227
0239;139;88;31;7;265
0240;66;52;9;4;131
0241;154;122;35;10;321
0242;252;147;26;15;440
0243;227;113;17;10;367
0244;26;12;4;6;48
0245;2;2;;;4
0246;33;27;4;4;68
0247;163;146;36;8;353
0248;109;100;24;7;240
0249;121;181;31;6;339
0250;106;25;5;3;139
0251;198;182;42;18;440
0252;59;75;15;5;154
0253;;;;;
0254;186;158;34;7;385
0255;145;102;26;10;283
0256;250;192;32;13;487
0257;188;153;30;16;387
0258;174;160;30;10;374
0259;37;34;4;3;78
0260;92;92;26;3;213
0261;169;168;42;10;389
0262;186;173;41;13;413
0263;185;199;41;18;443
0264;80;80;24;7;191
0265;150;150;28;10;338
0266;110;110;20;8;248
0267;43;50;13;5;111
0268;119;114;25;5;263
0269;266;169;43;10;488
0270;268;161;46;20;495
0271;56;57;17;2;132
0272;107;66;17;8;198
0273;109;67;26;6;208
0274;68;70;5;2;145
0275;63;52;6;1;122
0276;86;87;23;4;200
0277;237;158;42;21;458
0278;33;24;9;2;68
0279;87;57;18;11;173
0280;58;40;11;5;114
0281;189;161;36;6;392
0282;202;149;63;12;426
0283;218;168;79;25;490
0284;74;54;27;18;173
0285;96;85;21;5;207
0286;35;19;8;1;63
0287;164;141;34;13;352
0288;109;140;42;20;311
0289;81;63;14;5;163
0290;202;173;47;14;436
0291;77;53;12;2;144
0292;3;3;3;;9
0293;86;52;11;3;152
0294;33;15;4;3;55
0295;;;;;
0296;176;146;31;14;367
0297;;;;;
0298;17;18;8;2;45
0299;;;;;
0300;84;93;18;4;199
0301;98;137;26;8;269
0302;27;17;1;1;46
0303;224;200;37;13;474
0304;66;89;7;6;168
0305;57;42;10;2;111
0306;194;169;38;13;414
0307;181;164;36;7;388
0308;220;210;43;9;482
0309;198;139;28;10;375
0310;3;4;;;7
0311;170;167;36;13;386
0312;86;103;25;8;222
0313;118;134;22;11;285
0314;7;16;2;1;26
0315;84;95;25;8;212
0316;154;177;48;11;390
0317;150;163;29;7;349
0318;144;155;27;3;329
0319;129;87;23;5;244
0320;;;;;
0321;;;;;
0322;134;136;24;10;304
0323;430;303;21;14;768
0324;232;137;32;16;417
0325;294;224;63;14;595
0326;183;144;29;8;364
0327;116;85;15;3;219
0328;84;65;13;6;168
0329;35;23;8;1;67
0330;57;47;8;3;115
0331;78;68;16;;162
0332;156;126;24;8;314
0333;232;270;60;8;570
0334;83;81;9;6;179
0335;197;194;31;2;424
0336;157;125;15;3;300
0337;134;88;13;10;245
0338;103;53;17;10;183
0339;;;;;
0340;118;113;27;7;265
0341;91;80;15;3;189
0342;97;59;10;6;172
0343;;;;;
0344;16;9;1;;26
0345;48;19;;2;69
0346;;;;;
0347;76;63;12;9;160
0348;136;103;20;4;263
0349;85;63;12;11;171
0350;63;43;8;6;120
0351;116;102;20;5;243
0352;118;139;29;8;294
0353;78;56;9;2;145
0354;75;56;41;4;176
0355;51;30;4;2;87
0356;191;206;36;10;443
0357;115;106;28;8;257
0358;144;122;41;13;320
0359;130;122;29;10;291
0360;125;125;27;9;286
0361;112;93;15;6;226
0362;95;74;16;8;193
0363;10;17;1;;28
0364;;;;;
0365;1;2;;;3
0366;15;13;3;;31
0367;52;5;2;;59
0368;1;1;;;2
0369;8;8;1;1;18
0370;47;31;;2;80
0371;32;22;1;;55
0372;;;;;
0373;;;;;
0374;;;;;
0375;22;15;1;2;40
0376;152;124;23;8;307
0377;39;46;6;;91
0378;84;106;24;5;219
0379;37;48;16;2;103
0380;30;32;10;;72
0381;12;20;6;;38
0382;137;132;16;10;295
0383;62;133;20;3;218
0384;94;140;32;2;268
0385;8;15;8;1;32
0386;23;14;5;1;43
0387;21;25;6;4;56
0388;12;9;6;;27
