;;;;;
Popolazione residente per sezione e stato civile - Maschi;;;;;(a)
al  31 Dicembre 2010;;;;;
Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
0001;71;23;1;1;96
0002;3;2;;1;6
0003;;;;;
0004;17;23;;1;41
0005;2;4;;;6
0006;11;9;1;;21
0007;5;5;;;10
0008;4;5;;1;10
0009;2;2;;;4
0010;17;14;1;4;36
0011;3;3;;;6
0012;70;70;2;6;148
0013;45;21;1;;67
0014;7;2;;;9
0015;21;5;;;26
0016;5;4;;;9
0017;11;14;2;;27
0018;3;2;;;5
0019;7;7;;1;15
0020;2;3;;1;6
0021;9;6;1;;16
0022;1;1;;;2
0023;;1;;;1
0024;5;8;1;;14
0025;6;5;1;;12
0026;5;3;;;8
0027;19;9;;2;30
0028;;1;;;1
0029;6;3;;;9
0030;3;1;;;4
0031;15;10;;1;26
0032;;;;;
0033;5;5;;;10
0034;3;;;;3
0035;;;;;
0036;;1;;;1
0037;1;;;;1
0038;1;3;1;;5
0039;33;29;;4;66
0040;;;;;
0041;13;11;2;1;27
0042;21;17;;;38
0043;9;13;2;2;26
0044;;;;;
0045;1;2;;;3
0046;;;;1;1
0047;5;3;;;8
0048;;;;;
0049;1;1;;;2
0050;14;6;;;20
0051;;;;;
0052;7;8;;2;17
0053;15;11;2;;28
0054;11;10;;;21
0055;;1;;;1
0056;;;;;
0057;;;;;
0058;18;32;3;;53
0059;20;19;1;2;42
0060;123;136;10;2;271
0061;;2;;1;3
0062;140;136;8;11;295
0063;27;15;3;4;49
0064;30;51;1;2;84
0065;46;36;2;;84
0066;1;1;;;2
0067;19;19;1;1;40
0068;4;1;;;5
0069;109;125;12;7;253
0070;71;72;4;5;152
0071;29;31;2;3;65
0072;3;;;;3
0073;3;9;1;;13
0074;10;7;2;;19
0075;;;;;
0076;22;38;3;2;65
0077;72;86;8;5;171
0078;35;66;3;3;107
0079;115;170;11;7;303
0080;;;;;
0081;42;103;10;5;160
0082;47;87;4;2;140
0083;;;;;
0084;;;;;
0085;;;;;
0086;;;;;
0087;7;14;2;1;24
0088;32;38;2;2;74
0089;11;19;1;1;32
0090;50;53;6;3;112
0091;16;19;4;1;40
0092;9;8;;;17
0093;31;28;1;1;61
0094;19;25;2;1;47
0095;25;24;;1;50
0096;26;23;4;1;54
0097;90;88;8;8;194
0098;56;96;6;1;159
0099;26;32;5;1;64
0100;31;37;4;1;73
0101;84;107;10;5;206
0102;8;5;;;13
0103;43;76;3;2;124
0104;55;57;7;3;122
0105;35;44;7;1;87
0106;3;3;;;6
0107;84;96;7;9;196
0108;35;26;2;;63
0109;85;79;4;4;172
0110;24;32;1;1;58
0111;22;29;4;;55
0112;25;39;3;2;69
0113;88;79;8;5;180
0114;25;26;;;51
0115;20;23;1;5;49
0116;46;44;4;2;96
0117;74;77;3;5;159
0118;29;29;2;;60
0119;;2;;;2
0120;59;64;11;2;136
0121;;1;;;1
0122;15;2;;2;19
0123;;;;;
0124;49;62;5;9;125
0125;;;;;
0126;;;;;
0127;110;52;4;4;170
0128;1;5;;;6
0129;;1;;;1
0130;51;27;1;;79
0131;11;1;;;12
0132;36;27;2;;65
0133;;;;;
0134;12;19;;;31
0135;12;17;1;2;32
0136;;;;;
0137;7;15;;;22
0138;2;4;1;;7
0139;8;5;2;1;16
0140;155;110;5;8;278
0141;;1;;;1
0142;117;141;12;7;277
0143;26;28;1;;55
0144;2;3;;;5
0145;141;127;10;6;284
0146;107;90;5;4;206
0147;69;73;8;4;154
0148;42;69;1;2;114
0149;58;93;5;2;158
0150;80;95;3;2;180
0151;21;28;3;1;53
0152;9;15;1;;25
0153;106;137;9;8;260
0154;130;126;7;2;265
0155;78;89;9;5;181
0156;;;;;
0157;;;;;
0158;7;6;2;;15
0159;4;3;;;7
0160;7;5;2;1;15
0161;15;12;;1;28
0162;1;1;;;2
0163;12;8;1;1;22
0164;6;12;2;;20
0165;6;7;1;;14
0166;;;;;
0167;;;;;
0168;69;98;8;1;176
0169;130;147;7;4;288
0170;1;5;;;6
0171;152;186;3;4;345
0172;7;5;1;;13
0173;75;120;11;6;212
0174;172;151;11;8;342
0175;1;2;;;3
0176;63;143;10;6;222
0177;69;100;7;3;179
0178;20;22;;3;45
0179;;;;;
0180;40;58;1;2;101
0181;;;;;
0182;132;134;5;10;281
0183;26;35;;;61
0184;1;2;;;3
0185;2;4;;;6
0186;23;22;;3;48
0187;;1;1;1;3
0188;1;1;;;2
0189;1;1;1;;3
0190;;;;;
0191;5;5;;;10
0192;3;4;;;7
0193;10;2;;;12
0194;7;5;;1;13
0195;4;1;;;5
0196;35;40;2;5;82
0197;15;9;;1;25
0198;18;15;;;33
0199;26;10;1;1;38
0200;;;;;
0201;3;2;2;;7
0202;3;4;;;7
0203;26;16;;1;43
0204;;1;;;1
0205;74;82;1;3;160
0206;40;50;2;1;93
0207;;;;;
0208;;;;;
0209;;;;;
0210;;;;;
0211;83;79;4;10;176
0212;74;66;6;3;149
0213;32;31;2;2;67
0214;40;35;;3;78
0215;27;19;1;2;49
0216;69;49;3;4;125
0217;;;;;
0218;3;1;;;4
0219;25;14;4;1;44
0220;2;2;;;4
0221;9;6;;1;16
0222;5;2;1;1;9
0223;;;;;
0224;;;;;
0225;4;3;;;7
0226;7;9;;;16
0227;;;;;
0228;21;6;;;27
0229;82;98;2;3;185
0230;80;127;5;5;217
0231;30;28;2;1;61
0232;22;29;1;;52
0233;30;39;6;1;76
0234;52;52;3;1;108
0235;33;26;1;2;62
0236;14;22;;;36
0237;25;31;2;;58
0238;66;43;2;7;118
0239;75;45;5;3;128
0240;37;24;1;1;63
0241;96;64;9;5;174
0242;157;77;3;7;244
0243;151;62;1;6;220
0244;14;6;3;2;25
0245;1;1;;;2
0246;21;13;;1;35
0247;97;72;3;4;176
0248;62;47;4;3;116
0249;59;91;4;4;158
0250;60;13;;2;75
0251;108;87;10;8;213
0252;36;39;4;1;80
0253;;;;;
0254;80;80;3;2;165
0255;69;50;2;2;123
0256;143;95;7;5;250
0257;89;78;4;7;178
0258;103;75;2;3;183
0259;26;16;;;42
0260;48;45;4;1;98
0261;91;84;8;3;186
0262;98;88;4;2;192
0263;99;106;11;5;221
0264;34;39;4;4;81
0265;84;77;8;3;172
0266;55;54;2;4;115
0267;21;23;;1;45
0268;48;54;4;2;108
0269;140;85;8;7;240
0270;122;81;9;11;223
0271;23;30;2;1;56
0272;59;28;4;2;93
0273;52;32;3;4;91
0274;29;37;1;2;69
0275;33;24;1;1;59
0276;45;43;6;1;95
0277;123;76;6;7;212
0278;18;12;1;;31
0279;39;28;2;3;72
0280;27;20;4;;51
0281;96;80;6;2;184
0282;97;69;6;2;174
0283;105;83;8;5;201
0284;30;30;3;7;70
0285;46;43;4;1;94
0286;24;11;3;1;39
0287;89;67;5;5;166
0288;49;70;9;5;133
0289;45;31;4;2;82
0290;102;84;6;7;199
0291;44;26;1;2;73
0292;1;1;;;2
0293;41;28;2;;71
0294;13;7;1;3;24
0295;;;;;
0296;96;69;4;4;173
0297;;;;;
0298;9;9;2;2;22
0299;;;;;
0300;49;46;3;1;99
0301;42;65;2;2;111
0302;15;9;;1;25
0303;135;103;5;9;252
0304;39;45;;3;87
0305;26;23;2;1;52
0306;103;85;5;6;199
0307;102;81;7;3;193
0308;130;103;6;5;244
0309;113;69;8;2;192
0310;2;2;;;4
0311;87;85;9;4;185
0312;39;52;5;3;99
0313;65;65;;4;134
0314;3;8;;;11
0315;33;48;8;2;91
0316;88;86;2;2;178
0317;87;82;3;2;174
0318;74;77;4;2;157
0319;68;44;5;2;119
0320;;;;;
0321;;;;;
0322;71;67;6;3;147
0323;229;154;4;7;394
0324;125;71;6;5;207
0325;150;112;7;5;274
0326;104;73;8;4;189
0327;68;42;3;2;115
0328;43;32;2;2;79
0329;22;12;;1;35
0330;31;23;;1;55
0331;48;35;3;;86
0332;84;65;4;3;156
0333;116;127;6;2;251
0334;41;40;1;3;85
0335;111;95;3;1;210
0336;91;63;2;;156
0337;62;44;1;3;110
0338;50;26;5;2;83
0339;;;;;
0340;54;53;2;1;110
0341;42;40;3;;85
0342;58;27;3;;88
0343;;;;;
0344;12;4;;;16
0345;33;11;;;44
0346;;;;;
0347;43;31;1;4;79
0348;65;51;1;3;120
0349;45;32;4;4;85
0350;34;21;;3;58
0351;60;50;7;1;118
0352;66;66;5;2;139
0353;42;28;1;1;72
0354;40;28;2;2;72
0355;27;15;2;1;45
0356;104;100;3;2;209
0357;66;51;3;3;123
0358;72;59;11;3;145
0359;74;63;3;3;143
0360;66;64;5;3;138
0361;57;43;;2;102
0362;51;37;3;4;95
