;;;;;
Popolazione residente per sezione e stato civile - Femmine;;;;;(a)
al  31 Dicembre 2010;;;;;
Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
0001;53;29;2;2;86
0002;2;2;;;4
0003;;;;;
0004;24;21;2;1;48
0005;2;4;1;;7
0006;4;8;6;1;19
0007;1;5;2;1;9
0008;3;5;3;1;12
0009;;1;;;1
0010;12;15;3;;30
0011;3;3;2;;8
0012;56;63;20;9;148
0013;30;25;6;3;64
0014;4;3;2;;9
0015;18;8;2;;28
0016;2;4;2;;8
0017;6;15;4;1;26
0018;1;2;;1;4
0019;4;7;2;5;18
0020;;3;;;3
0021;8;6;2;;16
0022;;1;;;1
0023;1;1;;;2
0024;3;8;1;;12
0025;6;9;1;;16
0026;4;2;;;6
0027;10;8;2;1;21
0028;1;;1;;2
0029;2;;;;2
0030;1;1;2;;4
0031;12;8;1;;21
0032;;;;;
0033;4;3;2;;9
0034;1;1;;;2
0035;;;;;
0036;2;;;;2
0037;2;;;;2
0038;;2;1;;3
0039;29;26;2;3;60
0040;;;;;
0041;10;10;3;1;24
0042;16;14;;;30
0043;15;11;;;26
0044;;;;;
0045;1;2;1;;4
0046;;;;;
0047;5;4;;1;10
0048;;;;;
0049;;1;;;1
0050;5;7;6;;18
0051;;;;;
0052;9;8;;;17
0053;8;9;1;1;19
0054;6;10;4;1;21
0055;;1;1;;2
0056;;;;;
0057;;;;;
0058;28;22;22;1;73
0059;12;22;8;2;44
0060;100;134;46;10;290
0061;2;2;;;4
0062;111;138;35;10;294
0063;22;20;9;3;54
0064;19;47;16;1;83
0065;34;33;12;3;82
0066;;1;1;;2
0067;20;24;6;3;53
0068;;1;;;1
0069;104;126;54;9;293
0070;68;71;25;8;172
0071;31;35;11;2;79
0072;;;;;
0073;6;10;8;1;25
0074;8;6;5;2;21
0075;;;;;
0076;29;37;21;2;89
0077;71;79;33;5;188
0078;42;62;23;3;130
0079;99;175;52;11;337
0080;;;;;
0081;42;94;62;9;207
0082;35;89;26;6;156
0083;;;;;
0084;;;;;
0085;;;;;
0086;;;;;
0087;8;12;2;1;23
0088;28;40;8;2;78
0089;9;17;4;2;32
0090;53;51;15;4;123
0091;12;22;11;1;46
0092;9;8;3;;20
0093;12;26;11;1;50
0094;14;26;5;3;48
0095;23;27;20;3;73
0096;19;24;21;4;68
0097;88;84;25;8;205
0098;44;92;23;4;163
0099;27;33;7;1;68
0100;31;40;8;2;81
0101;94;111;59;7;271
0102;6;6;1;;13
0103;48;74;22;3;147
0104;44;60;18;2;124
0105;35;44;12;2;93
0106;1;4;1;;6
0107;96;91;35;13;235
0108;30;22;9;3;64
0109;67;80;25;4;176
0110;28;33;13;2;76
0111;14;28;4;1;47
0112;23;41;12;1;77
0113;72;82;50;12;216
0114;25;28;6;1;60
0115;33;23;14;3;73
0116;31;47;8;5;91
0117;78;81;31;11;201
0118;25;30;13;2;70
0119;;1;;;1
0120;57;64;25;7;153
0121;;1;;;1
0122;6;2;1;1;10
0123;;;;;
0124;60;63;27;13;163
0125;;;1;;1
0126;;;;;
0127;73;59;15;11;158
0128;2;5;;;7
0129;;1;;;1
0130;27;30;2;1;60
0131;4;;;;4
0132;37;25;35;4;101
0133;;;;;
0134;8;19;6;1;34
0135;10;18;7;2;37
0136;;;;;
0137;7;18;2;1;28
0138;3;4;2;;9
0139;9;7;;3;19
0140;103;118;39;8;268
0141;;1;;;1
0142;126;146;51;8;331
0143;15;26;5;1;47
0144;2;2;1;;5
0145;109;131;37;7;284
0146;89;96;37;13;235
0147;50;76;20;4;150
0148;34;70;20;4;128
0149;61;93;36;3;193
0150;53;96;26;4;179
0151;16;28;17;2;63
0152;9;16;6;;31
0153;118;142;44;14;318
0154;108;135;32;6;281
0155;76;88;40;6;210
0156;;;;;
0157;;;;;
0158;4;6;2;1;13
0159;3;3;;;6
0160;2;5;2;;9
0161;19;12;;;31
0162;2;1;;;3
0163;4;6;;1;11
0164;9;11;;2;22
0165;7;8;2;;17
0166;;;;;
0167;;;;;
0168;54;97;37;10;198
0169;112;151;29;16;308
0170;1;6;2;;9
0171;138;194;48;16;396
0172;9;6;1;;16
0173;67;125;38;7;237
0174;142;155;51;20;368
0175;1;2;;;3
0176;55;142;42;6;245
0177;57;104;31;5;197
0178;14;23;12;1;50
0179;;;;;
0180;42;55;11;6;114
0181;;;;;
0182;116;137;48;15;316
0183;23;36;7;2;68
0184;;2;;;2
0185;5;4;1;;10
0186;16;23;2;1;42
0187;1;1;1;;3
0188;2;2;1;;5
0189;3;1;;;4
0190;1;;;;1
0191;6;6;1;1;14
0192;1;4;;;5
0193;3;2;;;5
0194;6;5;;;11
0195;1;1;1;;3
0196;31;44;10;5;90
0197;18;12;3;1;34
0198;14;16;6;2;38
0199;16;12;1;2;31
0200;;;;;
0201;11;5;30;1;47
0202;2;5;;;7
0203;18;16;1;3;38
0204;;1;;;1
0205;44;74;19;4;141
0206;27;54;13;4;98
0207;;;;;
0208;;;;;
0209;;;;;
0210;;;;;
0211;64;76;45;10;195
0212;50;65;29;6;150
0213;21;33;9;;63
0214;36;38;19;3;96
0215;17;23;6;1;47
0216;51;48;21;7;127
0217;;;;;
0218;4;;;;4
0219;22;10;43;3;78
0220;2;3;;;5
0221;12;5;1;;18
0222;;1;;;1
0223;;;;;
0224;;;;;
0225;3;4;1;1;9
0226;4;6;2;;12
0227;;;;;
0228;18;7;;1;26
0229;68;97;32;7;204
0230;104;125;36;7;272
0231;26;26;5;;57
0232;13;24;13;3;53
0233;38;42;23;5;108
0234;48;48;20;4;120
0235;24;23;3;2;52
0236;10;23;9;2;44
0237;18;30;17;3;68
0238;39;46;19;5;109
0239;64;43;26;4;137
0240;29;28;8;3;68
0241;58;58;26;5;147
0242;95;70;23;8;196
0243;76;51;16;4;147
0244;12;6;1;4;23
0245;1;1;;;2
0246;12;14;4;3;33
0247;66;74;33;4;177
0248;47;53;20;4;124
0249;62;90;27;2;181
0250;46;12;5;1;64
0251;90;95;32;10;227
0252;23;36;11;4;74
0253;;;;;
0254;106;78;31;5;220
0255;76;52;24;8;160
0256;107;97;25;8;237
0257;99;75;26;9;209
0258;71;85;28;7;191
0259;11;18;4;3;36
0260;44;47;22;2;115
0261;78;84;34;7;203
0262;88;85;37;11;221
0263;86;93;30;13;222
0264;46;41;20;3;110
0265;66;73;20;7;166
0266;55;56;18;4;133
0267;22;27;13;4;66
0268;71;60;21;3;155
0269;126;84;35;3;248
0270;146;80;37;9;272
0271;33;27;15;1;76
0272;48;38;13;6;105
0273;57;35;23;2;117
0274;39;33;4;;76
0275;30;28;5;;63
0276;41;44;17;3;105
0277;114;82;36;14;246
0278;15;12;8;2;37
0279;48;29;16;8;101
0280;31;20;7;5;63
0281;93;81;30;4;208
0282;105;80;57;10;252
0283;113;85;71;20;289
0284;44;24;24;11;103
0285;50;42;17;4;113
0286;11;8;5;;24
0287;75;74;29;8;186
0288;60;70;33;15;178
0289;36;32;10;3;81
0290;100;89;41;7;237
0291;33;27;11;;71
0292;2;2;3;;7
0293;45;24;9;3;81
0294;20;8;3;;31
0295;;;;;
0296;80;77;27;10;194
0297;;;;;
0298;8;9;6;;23
0299;;;;;
0300;35;47;15;3;100
0301;56;72;24;6;158
0302;12;8;1;;21
0303;89;97;32;4;222
0304;27;44;7;3;81
0305;31;19;8;1;59
0306;91;84;33;7;215
0307;79;83;29;4;195
0308;90;107;37;4;238
0309;85;70;20;8;183
0310;1;2;;;3
0311;83;82;27;9;201
0312;47;51;20;5;123
0313;53;69;22;7;151
0314;4;8;2;1;15
0315;51;47;17;6;121
0316;66;91;46;9;212
0317;63;81;26;5;175
0318;70;78;23;1;172
0319;61;43;18;3;125
0320;;;;;
0321;;;;;
0322;63;69;18;7;157
0323;201;149;17;7;374
0324;107;66;26;11;210
0325;144;112;56;9;321
0326;79;71;21;4;175
0327;48;43;12;1;104
0328;41;33;11;4;89
0329;13;11;8;;32
0330;26;24;8;2;60
0331;30;33;13;;76
0332;72;61;20;5;158
0333;116;143;54;6;319
0334;42;41;8;3;94
0335;86;99;28;1;214
0336;66;62;13;3;144
0337;72;44;12;7;135
0338;53;27;12;8;100
0339;;;;;
0340;64;60;25;6;155
0341;49;40;12;3;104
0342;39;32;7;6;84
0343;;;;;
0344;4;5;1;;10
0345;15;8;;2;25
0346;;;;;
0347;33;32;11;5;81
0348;71;52;19;1;143
0349;40;31;8;7;86
0350;29;22;8;3;62
0351;56;52;13;4;125
0352;52;73;24;6;155
0353;36;28;8;1;73
0354;35;28;39;2;104
0355;24;15;2;1;42
0356;87;106;33;8;234
0357;49;55;25;5;134
