Sezioni 2001;1. Comune di Bologna;2. Comuni della provincia Bologna;3. Altre province Emilia-Romagna;4. Italia nord occidentale;5. Italia nord orientale;6. Italia centrale;7. Italia meridionale e insulare;8. Stati esteri;Totale
0001;84;20;43;5;9;2;8;11;182
0002;9;1;;;;;;;10
0004;49;16;6;1;;3;8;6;89
0005;8;5;;;;;;;13
0006;17;12;3;;;1;2;5;40
0007;14;4;1;;;;;;19
0008;15;4;;1;;;1;1;22
0009;2;;1;;;;2;;5
0010;23;12;10;;;;10;11;66
0011;6;4;;;2;;1;1;14
0012;115;34;18;5;9;7;52;56;296
0013;60;9;13;6;1;3;18;21;131
0014;12;2;1;;;;;3;18
0015;18;5;;;;2;3;26;54
0016;10;6;;;;;1;;17
0017;20;20;5;1;1;;3;3;53
0018;4;3;;2;;;;;9
0019;22;4;1;1;;;3;2;33
0020;3;3;;1;1;1;;;9
0021;16;5;2;;2;;3;4;32
0022;1;2;;;;;;;3
0023;;;1;;;;2;;3
0024;15;7;1;;;;3;;26
0025;10;1;6;;1;2;6;2;28
0026;10;;1;;;;3;;14
0027;37;1;4;3;2;;2;2;51
0028;1;;1;;1;;;;3
0029;;;;1;;3;6;1;11
0030;4;2;2;;;;;;8
0031;18;2;2;4;;1;8;12;47
0033;5;6;2;;;;3;3;19
0034;1;;;;;;1;3;5
0036;;;;;;;1;2;3
0037;1;;;;;;;2;3
0038;2;3;3;;;;;;8
0039;56;14;8;3;2;7;23;13;126
0041;34;6;2;;;;7;2;51
0042;16;;6;2;1;3;16;24;68
0043;33;6;3;1;;1;5;3;52
0045;4;;;3;;;;;7
0046;;;;;;;1;;1
0047;10;3;3;1;;;1;;18
0049;;;2;;1;;;;3
0050;13;4;4;1;2;2;9;3;38
0052;13;3;3;;;;9;6;34
0053;14;3;5;;1;;12;12;47
0054;23;1;1;2;;;5;10;42
0055;;1;;;;;2;;3
0058;58;32;4;3;2;2;13;12;126
0059;39;20;5;2;3;2;7;8;86
0060;222;97;50;15;9;11;79;78;561
0061;3;1;;;;1;1;1;7
0062;241;100;28;18;14;19;99;70;589
0063;47;15;7;2;3;1;14;14;103
0064;67;39;18;1;4;4;27;7;167
0065;41;31;8;;1;2;25;58;166
0066;1;3;;;;;;;4
0067;37;11;7;1;1;2;20;14;93
0068;4;;;;;;2;;6
0069;233;93;43;7;8;10;62;90;546
0070;128;50;26;5;4;6;37;68;324
0071;83;18;11;;3;4;12;13;144
0072;;;;;1;;1;1;3
0073;18;11;5;1;;1;1;1;38
0074;15;10;5;1;2;2;1;4;40
0076;67;37;19;1;2;3;11;14;154
0077;173;68;23;1;4;7;37;46;359
0078;101;48;22;3;3;7;36;17;237
0079;293;132;59;8;14;15;63;56;640
0081;158;76;47;5;6;8;50;17;367
0082;122;85;27;;3;2;36;21;296
0087;31;5;6;;1;;3;1;47
0088;64;18;9;4;2;1;25;29;152
0089;22;10;8;2;;2;7;13;64
0090;99;38;13;2;5;8;28;42;235
0091;44;19;6;;;4;4;9;86
0092;15;3;3;;;1;4;11;37
0093;30;23;6;4;3;7;16;22;111
0094;29;19;12;;1;1;11;22;95
0095;52;21;9;4;2;3;19;13;123
0096;61;23;12;;1;2;11;12;122
0097;168;40;22;6;7;10;87;59;399
