Sezioni 2001;1. Comune di Bologna;2. Comuni della provincia Bologna;3. Altre province Emilia-Romagna;4. Italia nord occidentale;5. Italia nord orientale;6. Italia centrale;7. Italia meridionale e insulare;8. Stati esteri;Totale
0001;36;13;24;1;5;1;4;2;86
0002;3;1;;;;;;;4
0004;29;6;3;1;;2;4;3;48
0005;6;1;;;;;;;7
0006;4;10;1;;;1;1;2;19
0007;6;3;;;;;;;9
0008;7;3;;;;;1;1;12
0009;;;;;;;1;;1
0010;9;7;3;;;;5;6;30
0011;3;3;;;1;;;1;8
0012;64;14;11;2;5;2;27;23;148
0013;30;6;7;3;1;2;8;7;64
0014;5;2;;;;;;2;9
0015;7;3;;;;;1;17;28
0016;5;3;;;;;;;8
0017;7;12;2;1;1;;1;2;26
0018;2;1;;1;;;;;4
0019;11;2;1;;;;2;2;18
0020;1;1;;;1;;;;3
0021;8;2;1;;2;;;3;16
0022;;1;;;;;;;1
0023;;;1;;;;1;;2
0024;6;3;;;;;3;;12
0025;5;1;2;;;2;4;2;16
0026;5;;;;;;1;;6
0027;15;1;2;1;;;;2;21
0028;1;;;;1;;;;2
0029;;;;;;1;1;;2
0030;1;2;1;;;;;;4
0031;9;;1;1;;;5;5;21
0033;3;3;1;;;;1;1;9
0034;;;;;;;1;1;2
0036;;;;;;;;2;2
0037;1;;;;;;;1;2
0038;;2;1;;;;;;3
0039;28;7;4;3;;3;10;5;60
0041;15;3;2;;;;3;1;24
0042;9;;2;;1;1;8;9;30
0043;17;2;2;1;;;3;1;26
0045;2;;;2;;;;;4
0047;7;2;1;;;;;;10
0049;;;;;1;;;;1
0050;3;3;4;1;2;1;2;2;18
0052;5;3;2;;;;4;3;17
0053;7;1;2;;1;;3;5;19
0054;12;;1;1;;;2;5;21
0055;;;;;;;2;;2
0058;32;18;3;3;1;2;7;7;73
0059;19;11;4;1;1;1;4;3;44
0060;111;51;32;8;5;6;38;39;290
0061;2;1;;;;1;;;4
0062;121;49;17;8;10;6;44;39;294
0063;24;8;2;1;2;;7;10;54
0064;34;23;9;;1;2;8;6;83
0065;22;16;5;;1;2;9;27;82
0066;;2;;;;;;;2
0067;22;7;3;;1;2;12;6;53
0068;;;;;;;1;;1
0069;123;56;25;2;1;6;32;48;293
0070;69;32;19;4;2;5;14;27;172
0071;45;8;7;;1;4;6;8;79
0073;10;7;4;1;;1;1;1;25
0074;6;6;5;;2;;1;1;21
0076;38;24;11;;2;2;5;7;89
0077;83;37;15;1;3;5;19;25;188
0078;52;30;11;2;1;4;21;9;130
0079;137;75;38;5;6;9;32;35;337
0081;89;40;29;2;4;5;26;12;207
0082;60;44;19;;1;2;17;13;156
0087;14;4;3;;;;1;1;23
0088;32;9;4;3;2;1;13;14;78
0089;9;5;5;2;;1;3;7;32
0090;50;24;8;;2;6;13;20;123
0091;22;9;5;;;3;2;5;46
0092;9;2;2;;;1;1;5;20
0093;9;13;4;2;2;1;10;9;50
0094;17;10;6;;1;;6;8;48
0095;30;14;5;3;1;;12;8;73
0096;34;17;8;;;1;5;3;68
0097;79;23;15;2;2;6;41;37;205
0098;65;47;18;2;;1;15;15;163
0099;32;13;6;;;;3;14;68
0100;42;12;7;3;1;1;10;5;81
0101;125;59;20;3;4;2;21;37;271
0102;6;1;;;;;2;4;13
0103;76;29;9;6;6;3;6;12;147
0104;49;31;9;1;;2;18;14;124
0105;45;20;11;;;1;6;10;93
0106;2;1;1;;;;1;1;6
0107;108;27;24;6;8;1;27;34;235
0108;31;6;5;1;1;;10;10;64
0109;73;30;9;3;2;6;24;29;176
0110;38;12;1;1;1;1;9;13;76
0111;23;5;4;;;2;8;5;47
0112;32;21;6;3;;3;4;8;77
0113;71;45;16;4;4;5;33;38;216
0114;19;7;5;1;3;2;9;14;60
0115;30;9;4;1;;;15;14;73
0116;35;14;8;;1;2;17;14;91
0117;80;45;13;4;3;4;23;29;201
0118;19;12;8;1;3;1;13;13;70
0119;;1;;;;;;;1
0120;63;30;9;2;2;1;20;26;153
0121;;1;;;;;;;1
0122;2;;1;1;;;2;4;10
0124;71;23;11;5;2;2;24;25;163
0125;;1;;;;;;;1
0127;62;10;12;9;3;5;32;25;158
0128;7;;;;;;;;7
0129;;1;;;;;;;1
0130;28;5;;3;1;;8;15;60
0131;;;;;;;;4;4
0132;37;16;16;2;4;1;12;13;101
0134;18;13;;;2;;;1;34
0135;17;11;2;;1;;5;1;37
0137;13;3;2;;2;;4;4;28
0138;4;4;;;1;;;;9
0139;12;;3;;1;1;;2;19
0140;117;38;20;4;7;4;33;45;268
0141;;;1;;;;;;1
0142;121;64;21;6;5;4;60;50;331
0143;14;14;;1;;3;3;12;47
0144;;2;;;;1;2;;5
0145;117;53;23;3;6;8;26;48;284
0146;86;28;13;4;4;1;48;51;235
0147;55;27;13;2;2;4;24;23;150
0148;59;31;15;3;2;1;8;9;128
0149;81;32;31;1;3;7;20;18;193
0150;64;45;11;1;2;5;22;29;179
0151;24;11;7;1;2;2;6;10;63
0152;17;4;5;1;1;1;1;1;31
0153;141;63;16;11;5;3;37;42;318
0154;109;47;18;2;6;6;41;52;281
0155;97;37;25;1;2;6;18;24;210
0158;7;2;;1;;;2;1;13
