CODICE AREA;DENOMINAZIONE AREA STATISTICA;SUPERFICIE IN ETTARI (HA);SEZIONI 2001 DALLA;SEZIONI 2001 ALLA;SEZIONI 1991 DALLA;SEZIONI 1991 ALLA
1;LAVINO DI MEZZO;92,65;12;13;122;123
2;VIA DEL VIVAIO;609,53;1;11;34;34
2;VIA DEL VIVAIO;609,53;14;21;36;36
2;VIA DEL VIVAIO;609,53;51;54;77;77
2;VIA DEL VIVAIO;609,53;57;57;121;121
2;VIA DEL VIVAIO;609,53;;;126;140
2;VIA DEL VIVAIO;609,53;;;159;159
2;VIA DEL VIVAIO;609,53;;;173;176
3;BARGELLINO;69,67;22;24;35;35
3;BARGELLINO;69,67;26;26;68;69
3;BARGELLINO;69,67;40;41;81;83
4;AEROPORTO;440,26;25;25;64;67
4;AEROPORTO;440,26;27;39;70;76
4;AEROPORTO;440,26;42;48;78;80
4;AEROPORTO;440,26;55;56;169;169
4;AEROPORTO;440,26;;;177;180
4;AEROPORTO;440,26;;;189;190
5;LA BIRRA;63,66;58;60;18;21
5;LA BIRRA;63,66;62;67;23;26
6;LUNGO RENO;23,96;61;61;22;22
7;DUCATI-VILLAGGIO INA;72,74;68;82;13;14
7;DUCATI-VILLAGGIO INA;72,74;136;137;37;46
7;DUCATI-VILLAGGIO INA;72,74;;;166;168
7;DUCATI-VILLAGGIO INA;72,74;;;194;194
8;BORGO CENTRO;149,73;83;123;10;12
8;BORGO CENTRO;149,73;140;144;17;17
8;BORGO CENTRO;149,73;;;28;33
8;BORGO CENTRO;149,73;;;47;63
8;BORGO CENTRO;149,73;;;145;158
8;BORGO CENTRO;149,73;;;160;160
8;BORGO CENTRO;149,73;;;186;186
8;BORGO CENTRO;149,73;;;193;193
9;TRIUMVIRATO-PIETRA;110,28;124;127;1;7
9;TRIUMVIRATO-PIETRA;110,28;145;157;16;16
9;TRIUMVIRATO-PIETRA;110,28;;;27;27
9;TRIUMVIRATO-PIETRA;110,28;;;141;144
9;TRIUMVIRATO-PIETRA;110,28;;;184;185
9;TRIUMVIRATO-PIETRA;110,28;;;187;187
10;RIGOSA;877,09;49;50;15;15
10;RIGOSA;877,09;128;135;84;103
10;RIGOSA;877,09;138;139;111;114
10;RIGOSA;877,09;158;167;117;120
10;RIGOSA;877,09;172;172;124;125
10;RIGOSA;877,09;175;175;164;164
10;RIGOSA;877,09;184;194;170;172
10;RIGOSA;877,09;199;202;188;188
10;RIGOSA;877,09;204;204;192;192
10;RIGOSA;877,09;;;195;195
11;CASTELDEBOLE;107,06;168;171;8;9
11;CASTELDEBOLE;107,06;173;174;104;110
11;CASTELDEBOLE;107,06;176;183;115;116
11;CASTELDEBOLE;107,06;195;198;161;163
11;CASTELDEBOLE;107,06;203;203;165;165
11;CASTELDEBOLE;107,06;;;181;183
11;CASTELDEBOLE;107,06;;;191;191
12;CASERME ROSSE-MANIFATTURA;122,33;205;222;323;326
12;CASERME ROSSE-MANIFATTURA;122,33;;;339;341
