"Biblioteca";"indirizzo";"N.pc al pubblico"
"Biblioteca dell’Archiginnasio";"piazza Galvani, 1  tel. 051/276811; Quartiere Santo Stefano";13
"Biblioteca di Casa Carducci";"piazza Carducci, 5  tel. 051/347592; Quartiere Santo Stefano";0
"Biblioteca “Amilcar Cabral”";"via San Mamolo, 24 - tel. 051/581464; Quartiere Santo Stefano";6
"Biblioteca Sala Borsa ";"piazza del Nettuno, 3 - tel. 051/2194400; Quartiere Saragozza";65
"Biblioteca Borgo Panigale";"via Legnano, 2 - tel. 051/404930; Quartiere Borgo Panigale";13
"Biblioteca Casa di Khaoula ";"via di Corticella, 104 - tel. 051/6312721; Quartiere Navile";9
"Biblioteca Corticella";"via Gorki, 14 - tel. 051/700972; Quartiere Navile";12
"Biblioteca Lame";"via Marco Polo, 21/13 - tel. 051/6350948;  Quartiere Navile";6
"Biblioteca “J. L. Borges”";"via dello Scalo, 21/2 - tel. 051/525870;  Quartiere Porto";20
"Biblioteca “O. Pezzoli”";"via Battindarno, 123 - tel. 051/6177844; Quartiere Reno";6
"Biblioteca  “O. Tassinari Clò” (Villa Spada)";"via Casaglia, 7 - tel. 051/434383; Quartiere Saragozza";8
"Biblioteca “Luigi Spina”";"via Casini, 5 - tel. 051/500365;  Quartiere San Donato";4
"Biblioteca Multimediale “R.Ruffilli”";"vicolo Bolognetti, 2 - tel. 051/276143; Quartiere San Vitale";12
"Biblioteca Scandellara";"via Scandellara, 50 - tel. 051/535710; Quartiere San Vitale";5
"Biblioteca “Natalia Ginzburg”";"via Genova, 10 - tel. 051/466307; Quartiere Savena";10
"Biblioteca Renzo Renzi, Cineteca Bologna";"Via Azzo Gardino, 65/b, Tel: 051.2194843; Quartiere Porto";7
"Biblioteca Italiana delle Donne ";"Via del Piombo, 5 tel. 051 4299 411; Quartiere Santo Stefano";19
"Mambo Museo d'Arte Moderna di Bologna - Biblioteca";"Via Don Minzoni, 14 Tel. 051 6496617/622; Quartiere Porto";2
