Biblioteca;indirizzo;quartiere;N.pc al pubblico
Archiginnasio;piazza Galvani, 1  tel. 051/276811;Santo Stefano;13
Casa Carducci;piazza Carducci, 5  tel. 051/347592;Santo Stefano;0
Amilcar Cabral;via San Mamolo, 24 - tel. 051/581464;Santo Stefano;6
Sala Borsa ;piazza del Nettuno, 3 - tel. 051/2194400;Saragozza;65
Borgo Panigale;via Legnano, 2 - tel. 051/404930;Borgo Panigale;13
Casa di Khaoula ;via di Corticella, 104 - tel. 051/6312721;Navile;9
Corticella;via Gorki, 14 - tel. 051/700972;Navile;12
Lame;via Marco Polo, 21/13 - tel. 051/6350948;Navile;6
J. L. Borges;via dello Scalo, 21/2 - tel. 051/525870;Porto;20
O. Pezzoli;via Battindarno, 123 - tel. 051/6177844;Reno;6
O. Tassinari Clò;via Casaglia, 7 - tel. 051/434383;Saragozza;8
Luigi Spina;via Casini, 5 - tel. 051/500365;San Donato;4
R.Ruffilli;vicolo Bolognetti, 2 - tel. 051/276143;San Vitale;12
Scandellara;via Scandellara, 50 - tel. 051/535710;San Vitale;5
Natalia Ginzburg;via Genova, 10 - tel. 051/466307;Savena;10
Renzo Renzi Cineteca Bologna;Via Azzo Gardino, 65/b, Tel: 051.2194843;Porto;7
Delle Donne ;Via del Piombo, 5 tel. 051 4299 411;Santo Stefano;19
Mambo Museo d'Arte Moderna di Bologna e Biblioteca;Via Don Minzoni, 14 Tel. 051 6496617/622;Quartiere Porto;2
