Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
BORGO PANIGALE;NIDO D'INFANZIA;AMICO GATTONE;Comunale;;VIA CADUTI DI CASTELDEBOLE n.21;BOLOGNA;BOLOGNA
BORGO PANIGALE;NIDO D'INFANZIA;BAIESI MARIO;Comunale;;VIA DEL CARROCCIO n.5;BOLOGNA;BOLOGNA
BORGO PANIGALE;NIDO D'INFANZIA;CASTELDEBOLE;Comunale;;Via Galeazza n.59;BOLOGNA;BOLOGNA
BORGO PANIGALE;NIDO D'INFANZIA;LEPIDO;Comunale;;VIA M. EMILIO LEPIDO n.181;BOLOGNA;BOLOGNA
BORGO PANIGALE;NIDO D'INFANZIA;TURRINI ;Comunale;;VIA BRAGAGLIA  n.28;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;ALDO MORO INFANZIA;Comunale;QUARTIERE BORGO PANIGALE;VIA CALVI n.3/3;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;CASA DEL BOSCO;Comunale;QUARTIERE BORGO PANIGALE;VIA DELLA PIETRA n.21/2;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;GALLON;Comunale;QUARTIERE BORGO PANIGALE;VIA M. E. LEPIDO n.175;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;GIDA ROSSI;Comunale;QUARTIERE BORGO PANIGALE;VIA CADUTI DI CASTELDEBOLE n.19;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;MARIA GARAGNANI;Privata convenzionata;ASSOCIAZIONE STEINERIANA MARIA GARAGNANI;VIA MORAZZO n.4/4;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;MAZZINI INFANZIA;Comunale;QUARTIERE BORGO PANIGALE;VIA LEGNANO n.1;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;SACRO CUORE;Privata convenzionata;SACRO CUORE;VIA BOMBELLI n.56;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;SAN GIUSEPPE;Privata convenzionata;SAN GIUSEPPE;VIA CLELIA BARBIERI n.2;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;VIA BRAGAGLIA - è VILLA MAY COMUNALE;Statale;DIREZIONE DIDATTICA 11° CIRCOLO;VIA BRAGAGLIA n.28;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA DELL'INFANZIA;VILLA MAY;Comunale;QUARTIERE BORGO PANIGALE;VIA BUFALINI n.16;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA PRIMARIA;2 AGOSTO;Statale;DIREZIONE DIDATTICA 11° CIRCOLO;VIA GALEAZZA n.57;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA PRIMARIA;ALDO MORO PRIMARIA;Statale;DIREZIONE DIDATTICA 11° CIRCOLO;VIA SANTORRE DI SANTAROSA n.2;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA PRIMARIA;FIORINI;Statale;DIREZIONE DIDATTICA 11° CIRCOLO;VIA EMILIA PONENTE n.311;BOLOGNA;BOLOGNA
