Cod.Struttura;Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia;Bacino
900021;BORGO PANIGALE;SCUOLA DELL'INFANZIA;ALDO MORO INFANZIA;Comunale;QUARTIERE BORGO PANIGALE;VIA CALVI n.3/3;BOLOGNA;BOLOGNA;BORGO PANIGALE - 1
900026;BORGO PANIGALE;SCUOLA DELL'INFANZIA;CASA DEL BOSCO;Comunale;QUARTIERE BORGO PANIGALE;VIA DELLA PIETRA n.21/2;BOLOGNA;BOLOGNA;BORGO PANIGALE - 5
900032;BORGO PANIGALE;SCUOLA DELL'INFANZIA;GALLON;Comunale;QUARTIERE BORGO PANIGALE;VIA M. E. LEPIDO n.175;BOLOGNA;BOLOGNA;BORGO PANIGALE - 2
900025;BORGO PANIGALE;SCUOLA DELL'INFANZIA;GIDA ROSSI;Comunale;QUARTIERE BORGO PANIGALE;VIA CADUTI DI CASTELDEBOLE n.19;BOLOGNA;BOLOGNA;BORGO PANIGALE - 4
900024;BORGO PANIGALE;SCUOLA DELL'INFANZIA;MAZZINI INFANZIA;Comunale;QUARTIERE BORGO PANIGALE;VIA LEGNANO n.1;BOLOGNA;BOLOGNA;BORGO PANIGALE - 3
900027;BORGO PANIGALE;SCUOLA DELL'INFANZIA;VILLA MAY;Comunale;QUARTIERE BORGO PANIGALE;VIA BRAGAGLIA n.28;BOLOGNA;BOLOGNA;BORGO PANIGALE - 2
900084;NAVILE;SCUOLA DELL'INFANZIA;ADA ZUCCHELLI;Comunale;QUARTIERE NAVILE;VIA DELLA CA' BIANCA n.13/2;BOLOGNA;BOLOGNA;NAVILE - LAME
900123;NAVILE;SCUOLA DELL'INFANZIA;ATTILIA NERI;Comunale;QUARTIERE NAVILE;VIA COLOMBAROLA n.38/6;BOLOGNA;BOLOGNA;NAVILE - CORTICELLA
900112;NAVILE;SCUOLA DELL'INFANZIA;CECCARELLI;Comunale;QUARTIERE NAVILE;VIA SALICETO n.8/A;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900087;NAVILE;SCUOLA DELL'INFANZIA;COOP. AZZURRA COMUNALE;Comunale;QUARTIERE NAVILE;VIA BEVERARA n.188;BOLOGNA;BOLOGNA;NAVILE - LAME
11745;NAVILE;SCUOLA DELL'INFANZIA;COOP. AZZURRA STATALE;Statale;ISTITUTO COMPRENSIVO N. 3;VIA BEVERARA n.188;BOLOGNA;BOLOGNA;NAVILE - LAME
900108;NAVILE;SCUOLA DELL'INFANZIA;DOZZA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA DOZZA n.8;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900101;NAVILE;SCUOLA DELL'INFANZIA;FEDERZONI;Comunale;QUARTIERE NAVILE;VIA DI VINCENZO n.11;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
11563;NAVILE;SCUOLA DELL'INFANZIA;FLORA (EX-ACRI);Comunale;QUARTIERE NAVILE;VIA FLORA n.7;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900257;NAVILE;SCUOLA DELL'INFANZIA;GIROTONDO;Statale;ISTITUTO COMPRENSIVO N. 4;VIA PETTAZZONI n.1;BOLOGNA;BOLOGNA;NAVILE - CORTICELLA
900104;NAVILE;SCUOLA DELL'INFANZIA;GIUSI DEL MUGNAIO;Comunale;QUARTIERE NAVILE;VIA DI CORTICELLA n.147/2;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900105;NAVILE;SCUOLA DELL'INFANZIA;GROSSO;Comunale;QUARTIERE NAVILE;VIA ERBOSA n.22;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900129;NAVILE;SCUOLA DELL'INFANZIA;LANZARINI;Comunale;QUARTIERE NAVILE;VIA MARZIALE n.10;BOLOGNA;BOLOGNA;NAVILE - CORTICELLA
900083;NAVILE;SCUOLA DELL'INFANZIA;MARIA MANZINI;Comunale;QUARTIERE NAVILE;PIAZZA GIOVANNI DA VERRAZZANO n.1;BOLOGNA;BOLOGNA;NAVILE - LAME
900127;NAVILE;SCUOLA DELL'INFANZIA;MARSILI;Comunale;QUARTIERE NAVILE;VIA COLOMBAROLA n.38/6;BOLOGNA;BOLOGNA;NAVILE - CORTICELLA
900252;NAVILE;SCUOLA DELL'INFANZIA;NUOVA SCUOLA INFANZIA NAVILE;Statale;ISTITUTO COMPRENSIVO N. 5;VIA C. DA BOLOGNA n.27/5;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
11468;NAVILE;SCUOLA DELL'INFANZIA;SUCC. SCUOLA DELL'INFANZIA STATALE DOZZA IL FLAUTO MAGICO;Statale;ISTITUTO COMPRENSIVO N. 15;VIA LOMBARDI n.42;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900106;NAVILE;SCUOLA DELL'INFANZIA;T.BOLZANI;Comunale;QUARTIERE NAVILE;VIA FLORA n.3;BOLOGNA;BOLOGNA;NAVILE - BOLOGNINA
900066;PORTO;SCUOLA DELL'INFANZIA;ANDERSEN;Comunale;QUARTIERE PORTO;VIA DELLO SCALO n.17/2;BOLOGNA;BOLOGNA;PORTO - MARCONI
