Quartiere;tipologia;anno nascita;totale potenziali utenti
B. Panigale;Ordinari;2007;18
Navile;Ordinari;2007;67
Porto;Ordinari;2007;24
Reno;Ordinari;2007;20
S. Donato;Ordinari;2007;25
S. Stefano;Ordinari;2007;34
S. Vitale;Ordinari;2007;44
Saragozza;Ordinari;2007;22
Savena;Ordinari;2007;31
B. Panigale;Ordinari;2008;41
Navile;Ordinari;2008;86
Porto;Ordinari;2008;54
Reno;Ordinari;2008;33
S. Donato;Ordinari;2008;24
S. Stefano;Ordinari;2008;48
S. Vitale;Ordinari;2008;47
Saragozza;Ordinari;2008;49
Savena;Ordinari;2008;46
B. Panigale;Ordinari;2009;217
Navile;Ordinari;2009;595
Porto;Ordinari;2009;236
Reno;Ordinari;2009;319
S. Donato;Ordinari;2009;254
S. Stefano;Ordinari;2009;391
S. Vitale;Ordinari;2009;372
Saragozza;Ordinari;2009;256
Savena;Ordinari;2009;454
B. Panigale;Anticipatari;2010;75
Navile;Anticipatari;2010;167
Porto;Anticipatari;2010;79
Reno;Anticipatari;2010;102
S. Donato;Anticipatari;2010;63
S. Stefano;Anticipatari;2010;123
S. Vitale;Anticipatari;2010;121
Saragozza;Anticipatari;2010;96
Savena;Anticipatari;2010;149
