Titolo;Funzione;Intervento;Cod Mecc;Capitolo;Denominazione ;Imp.prev. 2012;Imp.prev. 2013;Imp.prev. 2014
1;1;1;1010101;U00100000;ELEZIONI E REFERENDUM: SPESE DI PERSONALE A CARICO DEL COMUNE;0;0;0
1;1;1;1010101;U00100050;ELEZIONI DEGLI ORGANI CONSULTIVI DEI CITTADINI STRANIERI IMMIGRATI:;0;0;0
1;1;1;1010101;U00300000;SPESE DI PERSONALE - ORGANI ISTITUZIONALI;4469000;4569000;4569000
1;1;1;1010101;U00300010;SPESE DI PERSONALE: PARTECIPAZIONE E DECENTRAMENTO;6274000;6274000;6274000
1;1;1;1010101;U00300020;SPESE DI PERSONALE: RELAZIONI INTERNAZIONALI E COOPERAZIONE ALLO;432000;432000;432000
1;1;1;1010101;U00300050;SPESE DI PERSONALE: REIMPIEGO DEI FONDI DELLA COMMISSIONE EUROPEA,;0;0;0
1;1;2;1010102;U00410000;Q.RE BORGO PANIGALE: ACQUISTO BENI DI CONSUMO;31856,19;31856,19;31856,19
1;1;2;1010102;U00420000;Q.RE NAVILE: ACQUISTO BENI DI CONSUMO;90225;90225;90225
1;1;2;1010102;U00420050;Q.RE NAVILE: ACQUISTO DI BENI DI CONSUMO - REIMPIEGO CONTRIBUTO;0;0;0
1;1;2;1010102;U00430000;Q.RE PORTO: ACQUISTO BENI DI CONSUMO;29498,77;29498,77;29498,77
1;1;2;1010102;U00440000;Q.RE RENO: ACQUISTO BENI DI CONSUMO;43100;43100;43100
1;1;2;1010102;U00450000;Q.RE SAN DONATO: ACQUISTO BENI DI CONSUMO;32500;32500;32500
1;1;2;1010102;U00460000;Q.RE SANTO STEFANO: ACQUISTO BENI DI CONSUMO;36269,13;36269,13;36269,13
1;1;2;1010102;U00470000;Q.RE SAN VITALE: ACQUISTO BENI DI CONSUMO;60500;60500;60500
1;1;2;1010102;U00480000;Q.RE SARAGOZZA: ACQUISTO BENI DI CONSUMO;38400;38400;38400
1;1;2;1010102;U00490000;Q.RE SAVENA: ACQUISTO BENI DI CONSUMO;59900;59900;59900
1;1;2;1010102;U00600000;ACQUISTO DI BENI DI CONSUMO: FUNZIONAMENTO DEGLI ORGANI ISTITUZIONALI E;78823,09;78823,09;78823,09
1;1;2;1010102;U00700000;ORGANI ISTITUZIONALI - GABINETTO: SPESE DI FUNZIONAMENTO ECONOMALI E;50000;50000;50000
1;1;2;1010102;U00800000;SERVIZI DI COMUNICAZIONE: ACQUISTO DI BENI DI CONSUMO;8440;8440;8440
1;1;2;1010102;U00900050;ACQUISTO DI BENI DI CONSUMO: FESTE NAZIONALI E SOLENNITA' CIVILI,;9000;9000;9000
1;1;2;1010102;U00900100;ACQUISTO DI BENI DI CONSUMO: ORGANI ISTITUZIONALI;26000;26000;26000
1;1;2;1010102;U00900150;ACQUISTO DI BENI DI CONSUMO: PARTECIPAZIONE, DECENTRAMENTO E QUARTIERI;0;0;0
1;1;3;1010103;U01000050;ORGANI ISTITUZIONALI: INDENNITA', GETTONI ED ALTRE SPESE;2600000;2600000;2600000
1;1;3;1010103;U01000100;ORGANI ISTITUZIONALI: SPESE PER LA GESTIONE COMMISSARIALE;0;0;0
1;1;3;1010103;U01050000;COMPENSO AGLI AMMINISTRATORI DELLE ISTITUZIONI CULTURALI COMUNALI;0;0;0
