n_ID;Gazzette_ID;Anno;Mese;Mese_n;Giorno_n;url_img
1;11;1645;Maggio;5;10;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e10_1.jpg
2;11;1645;Maggio;5;10;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e10_2.jpg
3;11;1645;Maggio;5;10;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e10_3.jpg
4;11;1645;Maggio;5;10;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e10_4.jpg
5;12;1645;Maggio;5;17;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e17_1.jpg
6;12;1645;Maggio;5;17;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e17_2.jpg
7;12;1645;Maggio;5;17;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e17_3.jpg
8;12;1645;Maggio;5;17;http://badigit.comune.bologna.it/Gazzette/img_jpg/645e17_4.jpg
9;13;1645;Agosto;8;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h02_1.jpg
10;13;1645;Agosto;8;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h02_2.jpg
11;13;1645;Agosto;8;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h02_3.jpg
12;13;1645;Agosto;8;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h02_4.jpg
13;14;1645;Agosto;8;16;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h16_1.jpg
14;14;1645;Agosto;8;16;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h16_2.jpg
15;14;1645;Agosto;8;16;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h16_3.jpg
16;14;1645;Agosto;8;16;http://badigit.comune.bologna.it/Gazzette/img_jpg/645h16_4.jpg
17;15;1654;Maggio;5;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/654e02_1.jpg
18;15;1654;Maggio;5;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/654e02_2.jpg
19;15;1654;Maggio;5;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/654e02_3.jpg
20;15;1654;Maggio;5;2;http://badigit.comune.bologna.it/Gazzette/img_jpg/654e02_4.jpg
21;16;1656;Maggio;5;27;http://badigit.comune.bologna.it/Gazzette/img_jpg/656e27_1.jpg
22;16;1656;Maggio;5;27;http://badigit.comune.bologna.it/Gazzette/img_jpg/656e27_2.jpg
23;16;1656;Maggio;5;27;http://badigit.comune.bologna.it/Gazzette/img_jpg/656e27_3.jpg
24;16;1656;Maggio;5;27;http://badigit.comune.bologna.it/Gazzette/img_jpg/656e27_4.jpg
25;17;1661;Gennaio;1;5;http://badigit.comune.bologna.it/Gazzette/img_jpg/661a05_1.jpg
