CODVIA;DENOMINAZIONE
50;VIA GIUSEPPE CESARE ABBA
70;VIA NICOLO' DELL'ABATE
100;VIA DELL'ABBADIA
150;VIA ABRUZZO
250;VIA DEGLI ACERI
300;VIA ACHILLINI
350;GALLERIA GIOVANNI ACQUADERNI
370;ROTONDA ACQUA FRESCA
400;VIA FRANCESCO ACRI
450;VIA ADIGE
500;VIA DELL'AEROPORTO
550;VIA AUGUSTO AGLEBERT
600;VIA S.AGNESE
650;VIA MARIA GAETANA AGNESI
700;VIA DEGLI AGRESTI
750;VIA AGUCCHI
770;VIA DOMENICO AIMO
800;VIA ALAMANDINI
830;VIA ALBA
850;VIA FRANCESCO ALBANI
900;VIA DEGLI ALBARI
950;VIA ALBERELLI
1000;VIA FRANCESCO ALBERGATI
1050;VIA ADOLFO ALBERTAZZI
1100;VIA LEANDRO ALBERTI
1150;VIA ALBERTO MARIO
1200;VIA PIETRO ALBERTONI
1230;VIA CESARE ALBICINI
1250;VIA GIUSEPPE ALBINI
1270;VIA TOMASO ALBINONI
1300;VIA ALBIROLI
1330;VIA TADDEO ALDEROTTI
1350;VIALE ANTONIO ALDINI
1400;PIAZZA ALDROVANDI
1450;VICOLO ALEMAGNA
1500;VIA ALESSANDRINI
1530;VIA FRANCO ALFANO
1550;VIA VITTORIO ALFIERI
1580;VIA ALFONSINE
1600;VIA ALESSANDRO ALGARDI
1630;VIA SALVADOR ALLENDE
1650;VIA S.ALO'
1700;VIA ALTABELLA
1750;VIA ALTASETA
1800;VIA ARGENTINA ALTOBELLI
1850;VIA ALTURA
1900;VIA MICHELE AMARI
1950;VIA ROMOLO AMASEO
1980;VIA FLORIANO AMBROSINI
2000;VIA GIOVANNI AMENDOLA
2020;PIAZZALE LUCIANO ANCESCHI
2050;VIA ANDREA DA FAENZA
2100;VIA ISABELLA ANDREINI
2150;VIA MASSIMILIANO ANGELELLI
2200;VIA DEGLI ANGELI
2250;VIA DELL'ANGELO CUSTODE
2300;VIA S.ANNA
2350;VIA SS.ANNUNZIATA
2400;VIA FILIPPO ANTOLINI
2430;VIA ALESSANDRO ANTONELLI
2450;VIA ANTONELLO DA MESSINA
2550;VIA ANTONIO DI VINCENZO
2580;VIA ANTONIOTTO USODIMARE
2600;VIA S.APOLLONIA
2650;VIA APOSAZZA
2700;VIA GIULIO CESARE ARANZIO
2730;VIA FRANCESCO ARCANGELI
2750;VICOLO S.ARCANGELO
2800;VIA DELL'ARCHIGINNASIO
2850;VIA DELL'ARCOBALENO
2900;VIA DELL'ARCOVEGGIO
2930;VIA ROBERTO ARDIGO'
2950;VIA ARETUSI
3000;VIA FILIPPO ARGELATI
3050;VIA DELL'ARGINE
3070;VIA ARGONNE
3100;VIA ARIENTI
3110;ROTONDA GIOVANNI SABADINO DEGLI ARIENTI
3130;VICOLO DEGLI ARIOSTI
3150;VIA ARIOSTO
3200;VIA DELLE ARMI
3230;VIA ARNALDO DA BRESCIA
3250;VIA BRUNO ARNAUD
3300;VIA ARNO
3330;VIA ARDUINO ARRIGUZZI
3350;VIA DEGLI ARTIERI
3400;VIA DELL'ARTIGIANO
