PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
29164;2007;1;43,00;;3,00;6,00;;;14,00;;6,00;8,00;;;;3,00;;;;;;;3,00
146696;2010;2;42,50;;;;5,00;;14,00;;3,00;3,00;;;;;7,00;5,00;5,00;;;;0,50
21895;2007;3;42,00;;3,00;;;;;12,00;6,00;8,00;;;10,00;;;;;;;;3,00
109320;2011;4;42,00;;3,00;;8,00;;12,00;;6,00;;;;;;;6,00;7,00;;;;
50507;2007;5;42,00;;3,00;;;;14,00;;6,00;8,00;;6,00;;;;;;2,00;;;3,00
150652;2011;6;41,60;;3,00;;;;12,00;;3,00;;;;;;;9,00;12,60;2,00;;;
212234;2010;7;39,50;;3,00;;8,00;;;12,00;6,00;;;;;;;3,00;7,00;;;;0,50
150537;2011;8;39,00;;3,00;;;;14,00;;6,00;8,00;;;;8,00;;;;;;;
43121;2007;9;39,00;;3,00;;;;14,00;;6,00;;;;13,00;;;;;;;;3,00
270646;2008;10;39,00;;;;;6,00;14,00;;6,00;8,00;;;;;;3,00;;;;;2,00
60550;2007;11;39,00;;3,00;;;;14,00;;6,00;;;;;;6,00;;7,00;;;;3,00
51758;2007;12;39,00;;3,00;;;;14,00;;3,00;;;;9,00;;;;7,00;;;;3,00
71678;2011;13;38,60;;;;8,00;;;;6,00;8,00;;;;;4,00;;12,60;;;;
223070;2010;14;38,50;;3,00;;;;12,00;;6,00;;2,00;;;;5,00;5,00;5,00;;;;0,50
62966;2011;15;38,00;;3,00;6,00;;6,00;;;6,00;8,00;;;9,00;;;;;;;;
151234;2011;16;38,00;;3,00;;;;14,00;;6,00;8,00;;5,00;;;;;;2,00;;;
61228;2010;17;38,00;;3,00;6,00;;6,00;;;6,00;;;;9,00;;;;7,00;;;;1,00
164934;2009;18;37,50;;3,00;;;;12,00;;6,00;;;;;;8,00;;7,00;;;;1,50
155789;2011;19;37,00;;;;8,00;;;;6,00;8,00;;;;3,00;;;12,00;;;;
86508;2007;20;37,00;;3,00;;;;14,00;;6,00;;;;11,00;;;;;;;;3,00
150516;2011;21;37,00;;;;;;6,00;;6,00;8,00;;;;10,00;;;7,00;;;;
82012;2007;22;37,00;;3,00;;;;12,00;;6,00;;;;13,00;;;;;;;;3,00
81150;2007;23;37,00;;3,00;;;;14,00;;6,00;;;;11,00;;;;;;;;3,00
10201;2011;24;36,00;;3,00;;;;;12,00;6,00;6,00;;;9,00;;;;;;;;
53955;2007;25;36,00;;;;;;14,00;;6,00;8,00;;;;;;;5,00;;;;3,00
65221;2007;26;36,00;;3,00;;;6,00;12,00;;6,00;;;6,00;;;;;;;;;3,00
274746;2010;27;35,50;;;;;;14,00;;6,00;8,00;;;7,00;;;;;;;;0,50
73204;2007;28;35,00;;;;8,00;;;;6,00;3,00;;;;;8,00;;7,00;;;;3,00
86680;2007;29;35,00;;;;8,00;;;;6,00;8,00;;;;3,00;;;7,00;;;;3,00
84433;2007;30;35,00;;3,00;6,00;;;14,00;;6,00;;;;;3,00;;;;;;;3,00
40548;2007;31;35,00;;;;;;;;6,00;6,00;2,00;;;;8,00;3,00;7,00;;;;3,00
65354;2007;32;35,00;;3,00;;;;14,00;;6,00;;;;9,00;;;;;;;;3,00
41283;2007;33;35,00;;;;;;14,00;;6,00;6,00;;;;;6,00;;;;;;3,00
51290;2010;34;35,00;;3,00;;;;;12,00;6,00;;;;13,00;;;;;;;;1,00
22898;2011;35;35,00;;3,00;;;;12,00;;3,00;;;;12,00;;;;5,00;;;;
277404;2010;36;34,50;;3,00;;;;;12,00;6,00;;;;13,00;;;;;;;;0,50
253002;2010;37;34,50;;;;;;10,00;;6,00;8,00;;;;10,00;;;;;;;0,50
43335;2007;38;34,00;;3,00;;;;12,00;;6,00;;;;;;;3,00;7,00;;;;3,00
72185;2007;39;34,00;5,00;3,00;;;;;;6,00;8,00;;;9,00;;;;;;;;3,00
274464;2008;40;34,00;;3,00;;;6,00;14,00;;6,00;;;;;3,00;;;;;;;2,00
45730;2007;41;34,00;;;;;;14,00;;6,00;;;;11,00;;;;;;;;3,00
149856;2011;42;34,00;4,00;3,00;;8,00;;;;6,00;3,00;;;;;;3,00;7,00;;;;
147010;2011;43;34,00;;;;5,00;;;;6,00;8,00;;;;;;6,00;9,00;;;;
39181;2007;44;34,00;;3,00;;;;14,00;;6,00;8,00;;;;;;;;;;;3,00
151761;2011;45;34,00;;;;;;;;6,00;8,00;;;;;;8,00;12,00;;;;
149409;2011;46;34,00;;3,00;;;;;;6,00;6,00;;;12,00;;;;7,00;;;;
52030;2007;47;34,00;;;;;;14,00;;6,00;8,00;;;;3,00;;;;;;;3,00
245076;2010;48;33,50;;3,00;;;;;;6,00;8,00;;;9,00;;;;7,00;;;;0,50
94388;2009;49;33,50;;;;8,00;;;;6,00;8,00;;;;3,00;;;7,00;;;;1,50
240042;2007;50;33,50;;3,00;;;;14,00;;6,00;8,00;;;;;;;;;;;2,50
267299;2010;51;33,50;;3,00;;;;;12,00;6,00;3,00;;;9,00;;;;;;;;0,50
73991;2008;52;33,50;;;;;;14,00;;3,00;6,00;;;;;5,00;3,00;;;;;2,50
12445;2008;53;33,50;;3,00;;;;12,00;;3,00;;;;11,00;;;;;2,00;;;2,50
3995;2008;54;33,50;;3,00;;;;12,00;;3,00;6,00;;5,00;;;;;;2,00;;;2,50
268164;2010;55;33,10;;;;;;;;6,00;;;;;;9,00;5,00;12,60;;;;0,50
16432;2011;56;33,00;4,00;3,00;6,00;;;;;6,00;8,00;;;;6,00;;;;;;;
116169;2011;57;33,00;;3,00;;;;12,00;;6,00;;;;12,00;;;;;;;;
117835;2011;58;33,00;;;;;;;;6,00;8,00;;;;10,00;;;7,00;2,00;;;
38505;2007;59;33,00;;;;;6,00;;;6,00;8,00;;;;;8,00;;;2,00;;;3,00
41255;2007;60;33,00;;;;;;14,00;;;8,00;;;;8,00;;;;;;;3,00
184038;2009;61;32,50;;3,00;;;;12,00;;6,00;;;5,00;;;;;5,00;;;;1,50
273420;2010;62;32,50;;3,00;;;;14,00;;6,00;;;7,00;;;;;;2,00;;;0,50
182209;2009;63;32,50;;3,00;;;;;12,00;6,00;;;;;;10,00;;;;;;1,50
37641;2011;64;32,00;;3,00;;;;12,00;;6,00;;;;11,00;;;;;;;;
148702;2011;65;32,00;5,00;3,00;;;;;;6,00;8,00;;;10,00;;;;;;;;
